yearmoth  min	  5th	   med	    95th     max
192001   13.64    18.07    61.66   102.39   105.83 
192002   12.59    12.68    51.15    92.70   112.36 
192003   32.31    34.80    60.56    83.71   101.02 
192004   23.82    36.67    58.88    98.38   101.04 
192005   29.06    29.23    74.57   107.59   108.18 
192006    7.37    14.60    48.91    89.61   111.88 
192007   23.38    25.86    53.67    92.61    93.78 
192008   12.93    14.00    43.36    85.36    88.74 
192009    7.85     9.35    35.31    78.05    80.35 
192010    7.96    10.07    45.48    92.52    95.52 
192011   10.66    10.74    40.38    80.23    88.23 
192012    6.21    12.70    42.74    95.59    96.04 
192101    6.64    10.39    35.64   133.83   134.85 
192102    9.01    12.35    39.99    82.77   107.22 
192103   19.90    30.09    57.70   101.23   102.66 
192104   26.76    33.86    65.88    95.13   102.01 
192105   27.90    34.96    70.92    96.08   105.05 
192106   21.87    21.90    45.08   111.13   117.84 
192107   15.50    22.75    53.71    84.33    87.52 
192108   13.36    15.50    44.30    88.72    89.26 
192109    2.80    11.82    34.30    75.76    98.82 
192110    7.38    12.40    48.02    98.10    99.21 
192111   15.94    18.34    49.63    93.81   108.33 
192112   10.36    16.42    42.47    96.19   104.80 
192201    5.29    16.10    46.22    92.11    97.50 
192202   11.48    11.82    44.34    83.73    95.04 
192203   33.96    35.34    62.12   103.16   117.15 
192204   18.80    20.50    67.44   104.29   111.19 
192205   34.40    38.93    67.20   117.42   119.54 
192206   24.00    26.93    44.14    89.32   100.72 
192207   20.94    25.55    47.51    85.54    86.34 
192208   14.18    23.34    51.40    94.85   100.20 
192209    6.25     9.77    38.17    84.28    85.23 
192210   18.37    19.92    39.61    70.82    77.18 
192211   15.77    20.90    48.64    90.85   106.25 
192212   21.90    22.76    47.99   129.56   153.14 
192301    4.76    20.84    42.93   146.46   154.23 
192302    8.45    16.86    47.15    84.44    87.31 
192303    8.78    31.84    54.69    98.41   102.13 
192304   24.36    24.71    59.36    97.46   106.80 
192305   32.39    35.00    64.07    98.69   103.89 
192306   11.84    14.30    33.15    72.54   102.26 
192307   20.10    21.98    46.11    87.59   127.36 
192308   17.88    18.28    43.03    84.29    85.59 
192309    6.60     8.53    33.41    69.47    77.46 
192310    8.96    11.64    35.44    83.16   112.94 
192311   19.66    21.79    43.22    79.96    84.91 
192312   18.57    20.26    45.19    96.67    99.01 
192401    8.37    12.07    39.49    86.87    91.90 
192402   23.70    23.80    50.86   108.20   144.52 
192403   26.58    34.79    63.06   103.61   116.96 
192404   30.52    32.00    61.67    80.23    87.48 
192405   25.00    26.74    58.20    94.76   103.77 
192406   13.49    13.64    39.07    72.16    91.36 
192407   17.14    17.23    53.77    94.96   102.44 
192408   16.66    17.65    45.31    85.46    96.46 
192409    4.25    10.90    37.38    87.05    96.52 
192410    8.99    12.83    44.16    82.37    88.03 
192411    4.76     6.36    37.82    80.21    83.95 
192412    3.47     8.41    43.24    81.14    84.28 
192501    6.40    12.87    36.50    75.32   121.04 
192502   14.00    14.46    40.71   110.45   166.96 
192503   29.57    30.18    72.56    97.54   104.38 
192504   36.12    38.86    69.87    98.36   107.31 
192505   17.96    33.31    69.35   106.28   133.21 
192506    6.30    15.31    46.58    84.97   123.48 
192507   24.35    25.04    47.31    73.14    88.84 
192508   17.79    20.55    47.47    76.55    88.64 
192509    6.89    10.56    41.43    90.76   105.82 
192510   13.38    14.85    47.67    92.57    95.70 
192511   24.09    27.69    42.50    73.37   118.00 
192512   15.19    15.90    38.77   108.07   167.43 
192601    8.18    11.10    39.40    94.08    94.38 
192602   12.89    14.87    45.45   100.10   106.90 
192603   23.28    28.48    57.38    92.14    95.44 
192604   23.75    30.45    59.71    98.96   115.34 
192605   21.11    22.76    64.98   103.85   106.79 
192606   11.31    23.90    45.77    82.71    99.84 
192607   15.97    17.37    48.21    86.76    89.82 
192608   18.40    19.27    47.99    85.02    94.21 
192609    7.35     8.58    43.00    67.84    79.33 
192610    8.44    11.65    36.97    97.10   124.18 
192611   17.57    20.23    48.39    74.71   100.01 
192612   10.42    11.95    43.49    92.38    99.30 
192701   14.59    17.50    49.88   141.58   145.04 
192702   13.84    20.32    44.85   111.66   122.80 
192703   10.78    15.63    57.47    94.90   104.17 
192704   28.79    38.10    64.62   109.67   119.73 
192705   19.64    30.37    65.74   119.53   141.29 
192706   12.95    13.44    45.11   105.84   135.84 
192707   18.19    19.60    51.74    96.53   115.70 
192708    8.94    13.96    46.76    91.09    95.50 
192709   11.24    12.69    43.69    76.01    80.05 
192710    9.59    13.89    50.17    83.48    92.41 
192711   10.30    22.09    44.80    80.97    95.10 
192712    8.13    17.14    51.35    83.22   119.94 
192801    7.27     9.99    35.76    83.64   123.59 
192802   13.01    13.86    44.42    90.00   103.09 
192803   26.94    37.40    61.91    86.63    94.19 
192804   30.18    31.14    64.86    95.73   105.57 
192805   20.15    26.93    61.02   104.35   124.90 
192806   11.58    13.02    41.52    77.63   105.56 
192807   21.09    24.76    48.17    96.22    96.27 
192808   16.20    17.21    50.60    82.41    93.47 
192809    5.80     9.48    32.30    65.56    66.09 
192810    3.99     7.73    33.57    76.36    96.87 
192811   11.76    16.37    43.15    76.89    77.30 
192812   15.12    18.33    41.52    82.85    86.60 
192901   10.41    12.65    40.66    90.64    93.95 
192902   18.39    19.62    44.96   112.73   149.64 
192903   29.85    32.34    59.55    95.66   109.00 
192904   30.94    35.19    66.77   100.00   112.76 
192905   20.48    20.52    62.22   111.47   119.40 
192906   20.68    23.37    44.98   113.02   127.08 
192907   13.93    16.20    56.40    91.15   100.14 
192908   12.05    13.14    47.32    95.63    95.91 
192909    9.27     9.73    46.81   100.04   123.83 
192910    4.42     8.43    45.34    79.32    90.66 
192911   15.04    18.02    41.46    84.75    99.93 
192912   17.86    19.09    39.59    75.86    79.39 
193001   14.00    14.65    41.26   116.43   119.41 
193002   10.81    18.57    57.97   103.77   104.04 
193003   14.04    31.25    58.86    96.91    97.73 
193004   18.64    25.64    66.72   104.11   109.31 
193005   29.57    33.86    72.77   118.03   135.92 
193006   11.75    19.59    56.04    90.67    98.37 
193007   12.64    15.05    49.08   110.08   112.17 
193008   13.75    18.64    43.18    88.01    88.44 
193009    5.96     9.17    34.17    70.88    73.39 
193010   15.83    21.76    47.23    98.50   100.24 
193011   12.07    12.82    47.00    77.66    79.54 
193012   14.80    15.02    50.48    84.42   102.30 
193101    6.76     8.69    39.66   106.34   108.98 
193102   10.46    14.34    38.98   111.84   115.07 
193103   20.63    24.36    54.22    80.34    88.18 
193104   22.47    25.12    62.97    98.85   100.12 
193105   25.93    30.16    72.66   123.34   129.30 
193106   12.84    13.26    39.91    97.18   119.67 
193107   11.16    15.64    51.01   109.99   120.21 
193108   10.10    13.18    42.95    95.33    99.44 
193109    7.92    14.72    35.56    86.31   108.46 
193110   10.71    13.21    38.31    88.63    99.66 
193111    2.24    16.83    45.35    71.54    76.10 
193112   17.27    18.49    47.48    84.13   105.73 
193201    6.93    11.80    45.93    95.27   129.60 
193202   14.09    15.30    38.62    76.97    77.81 
193203   18.13    22.73    53.89    84.37    84.38 
193204   24.53    28.58    60.38   101.53   110.72 
193205   30.25    31.50    62.68    89.45    94.82 
193206   11.80    13.18    47.17    78.69   123.93 
193207   18.18    22.58    43.21    76.64    92.93 
193208   15.80    16.19    49.58    86.32    92.91 
193209   10.01    10.19    33.52    69.87    90.21 
193210    8.78    12.94    39.57    83.16    86.78 
193211   13.93    19.33    46.26    82.69    84.37 
193212   10.15    11.06    39.53    96.78   114.52 
193301    6.06    10.11    44.68   113.81   117.00 
193302   14.67    16.12    48.80    95.66   121.43 
193303    8.83     8.91    64.57    98.79    99.80 
193304   24.18    36.47    61.02    93.64   106.03 
193305   32.75    37.50    67.52   111.32   116.49 
193306   14.74    15.49    51.81    98.81   103.42 
193307   13.08    16.76    51.72    93.24    96.62 
193308   14.27    16.46    46.57    86.19    94.56 
193309   10.89    14.90    42.29    91.03    99.74 
193310   18.14    18.43    48.93   103.34   127.13 
193311    5.38    17.03    44.92    75.88    86.01 
193312   13.01    16.47    43.59    77.66    89.15 
193401    6.91     8.83    37.86   109.75   149.48 
193402    8.88    11.56    42.13   100.40   152.78 
193403   30.44    33.49    63.67    95.59    98.60 
193404   32.93    35.61    68.61    98.01   112.69 
193405   27.89    41.00    65.12   105.77   117.80 
193406   15.11    15.30    41.91   118.16   136.67 
193407   17.12    22.41    56.08    94.19    98.50 
193408   10.84    18.96    50.30    98.41   101.93 
193409    8.45    12.03    31.41    78.71    84.19 
193410    8.25    16.95    33.24   105.31   113.24 
193411   15.83    23.60    42.73    78.87    98.04 
193412   13.82    14.54    41.02    93.34    93.93 
193501    8.44     8.45    39.18    77.57    85.80 
193502   11.75    12.66    42.14    87.15   101.85 
193503   36.39    37.76    60.87    80.82    89.08 
193504   15.41    27.90    65.34   107.37   112.45 
193505   25.33    26.62    75.08   124.64   125.58 
193506   14.94    19.60    48.93    72.13    86.20 
193507   13.17    14.26    52.65   104.02   145.71 
193508   19.97    20.13    47.15    94.43    96.25 
193509    8.92    13.32    48.16    84.73    87.51 
193510    4.76    13.65    47.75    88.53   101.21 
193511   11.90    16.46    45.90    87.20    96.38 
193512   16.35    18.20    42.03    94.45    96.03 
193601    9.84    17.16    47.17    96.79   112.73 
193602    5.80    11.42    44.31    84.87    96.19 
193603   17.14    19.99    65.45   116.81   121.21 
193604   27.85    28.11    58.94    84.89   109.21 
193605   17.49    22.24    63.24   100.88   109.72 
193606   16.09    16.73    41.38    78.02    80.90 
193607   14.18    15.58    45.79    84.66    88.88 
193608   12.30    16.46    49.17    80.92    86.56 
193609    4.48     8.58    38.49    73.47    81.67 
193610    7.79    13.68    39.91    79.18    87.79 
193611   10.57    11.43    43.34    72.07    80.77 
193612   12.96    20.08    44.64    91.65    92.03 
193701    9.13    13.84    49.04   101.73   113.25 
193702    3.33     6.15    38.38    85.65   117.08 
193703   30.36    33.35    56.29    91.25    91.54 
193704   33.07    37.35    66.30   102.73   114.01 
193705   18.28    24.10    64.05   101.00   132.57 
193706   15.39    15.63    49.72    86.21    96.75 
193707   27.04    29.06    52.75    86.85    88.19 
193708   10.31    14.73    51.55    76.81    77.34 
193709   14.68    14.92    39.60    79.03    98.24 
193710    7.45    12.58    41.23    78.23    90.31 
193711    4.75    16.77    43.46    68.36    70.07 
193712   10.35    16.86    54.10    94.38   110.31 
193801   16.60    16.96    44.90   128.00   132.12 
193802   10.65    12.26    53.95    84.27   113.47 
193803   22.30    30.79    64.25    98.16    98.76 
193804   26.11    30.72    64.98    95.12   101.94 
193805   35.00    36.74    54.77    99.37   133.20 
193806   16.18    17.00    36.84    85.83    89.30 
193807   22.58    25.91    52.71   100.01   100.66 
193808   18.73    20.21    51.16    85.03    89.39 
193809    8.75    16.33    40.81    84.78    85.94 
193810    8.28    12.53    44.68    83.53    86.18 
193811   20.16    21.04    42.51    89.66   107.56 
193812   26.82    32.25    50.47    85.67    89.09 
193901    0.94     9.05    42.55    80.23    80.77 
193902   12.26    15.84    39.81    71.43   103.90 
193903   15.94    23.87    59.10    90.25    91.18 
193904   36.64    41.48    64.59   102.82   105.63 
193905   26.85    30.26    67.25   102.52   109.86 
193906   12.53    16.43    40.88    73.47    80.92 
193907   20.02    21.07    52.66    92.11    93.15 
193908   17.77    18.00    51.00    82.49   109.09 
193909   10.34    10.46    36.80    85.92    88.22 
193910    7.12     7.46    37.29    91.77   107.22 
193911   11.12    16.86    44.62    75.99    78.03 
193912   16.02    19.80    53.73    88.32   125.08 
194001   12.08    13.17    41.81    92.02    97.87 
194002    8.30    10.16    35.20    76.11    96.62 
194003   18.22    26.28    58.97    93.30    99.66 
194004   16.26    31.49    67.16   115.69   124.54 
194005   29.59    36.72    63.19   101.74   102.53 
194006   12.41    14.16    46.93    95.86   104.46 
194007   17.57    19.19    45.87    78.41    79.63 
194008   16.82    17.87    52.21   120.26   123.78 
194009   14.09    14.87    37.51    81.58    89.49 
194010   11.49    11.85    45.08    98.33   120.45 
