yearmoth  min	  5th	   med	    95th     max
192001  266.26   266.37   268.35   271.55   271.79 
192002  266.43   268.78   273.13   276.93   279.48 
192003  272.80   273.15   276.36   279.75   280.36 
192004  279.11   279.26   282.42   284.81   285.24 
192005  286.47   286.73   289.20   291.89   293.45 
192006  291.92   291.93   295.65   298.41   299.30 
192007  297.33   297.95   300.10   302.11   302.80 
192008  297.45   297.93   300.54   302.16   302.41 
192009  290.99   292.16   294.88   297.05   297.42 
192010  283.22   283.96   286.35   289.49   289.74 
192011  272.29   274.99   277.64   281.01   282.74 
192012  267.45   269.06   271.74   275.82   276.68 
192101  264.55   266.14   270.72   276.35   276.91 
192102  268.37   270.75   273.45   279.05   279.31 
192103  272.38   273.43   276.94   280.22   281.28 
192104  278.59   278.78   281.58   284.50   285.95 
192105  285.37   285.93   289.21   291.97   293.01 
192106  291.56   292.13   295.62   297.39   298.25 
192107  297.23   297.76   300.26   302.25   302.31 
192108  297.47   297.67   300.41   302.44   302.67 
192109  292.38   292.66   294.84   296.64   296.73 
192110  282.82   282.88   286.17   288.75   290.93 
192111  274.44   274.69   277.30   278.99   279.62 
192112  266.99   267.39   271.15   273.88   274.42 
192201  265.46   265.75   270.42   274.09   276.38 
192202  267.58   269.25   273.51   276.65   277.76 
192203  273.57   273.89   276.77   279.26   281.09 
192204  276.68   279.59   281.21   284.86   285.60 
192205  285.47   286.56   289.18   291.70   292.29 
192206  291.40   292.26   295.71   297.94   298.39 
192207  297.59   297.73   300.05   301.73   302.86 
192208  295.20   296.27   299.87   302.05   302.06 
192209  290.73   291.33   294.52   296.41   296.55 
192210  282.61   282.83   286.09   288.49   288.81 
192211  273.10   274.74   277.46   279.85   281.42 
192212  263.51   266.65   270.79   274.03   274.51 
192301  262.46   266.15   269.63   274.76   274.99 
192302  266.68   268.08   272.56   275.73   277.41 
192303  273.12   273.23   276.75   279.61   281.18 
192304  277.44   277.81   281.93   284.89   285.77 
192305  285.46   286.31   289.15   291.78   292.32 
192306  291.29   291.61   296.04   297.94   298.80 
192307  296.72   297.44   300.54   302.10   302.58 
192308  297.22   297.72   300.56   302.10   302.18 
192309  292.50   292.51   294.79   296.47   297.21 
192310  284.11   284.12   286.45   289.68   289.90 
192311  269.69   272.43   277.30   280.43   280.76 
192312  266.13   267.23   271.05   274.65   274.78 
192401  264.75   266.54   270.49   275.35   276.32 
192402  268.40   271.00   272.98   275.30   275.80 
192403  271.42   272.77   275.73   278.23   281.29 
192404  278.14   278.28   281.21   285.66   285.88 
192405  286.13   286.51   289.51   292.20   292.64 
192406  292.43   293.34   296.36   298.95   299.69 
192407  295.91   296.51   300.42   302.33   302.38 
192408  297.31   297.62   300.00   302.04   302.36 
192409  291.83   292.32   294.37   297.07   297.78 
192410  282.58   282.62   286.09   289.83   289.85 
192411  274.17   274.22   278.09   281.41   283.19 
192412  265.92   266.21   271.48   274.36   275.61 
192501  265.95   266.25   271.16   274.37   274.74 
192502  269.43   269.88   273.38   278.15   278.42 
192503  272.38   273.03   276.69   280.39   281.43 
192504  276.31   276.77   281.61   286.23   286.28 
192505  283.99   286.12   288.40   291.08   291.50 
192506  289.97   293.49   295.52   298.95   298.98 
192507  298.26   298.33   300.34   302.47   303.24 
192508  297.03   297.18   300.43   302.19   302.20 
192509  290.79   291.73   294.43   296.32   296.56 
192510  282.42   283.46   286.11   289.48   289.54 
192511  272.84   274.52   277.26   279.86   279.89 
192512  264.56   266.16   270.95   273.35   274.34 
192601  265.06   265.78   270.12   273.92   275.26 
192602  268.36   268.72   273.09   275.74   277.91 
192603  273.46   273.95   276.54   279.49   280.22 
192604  278.14   278.62   281.39   284.62   285.85 
192605  285.70   286.16   288.97   292.57   293.02 
192606  292.36   293.02   295.54   297.58   297.60 
192607  297.62   297.92   300.50   302.80   302.89 
192608  296.79   296.90   300.21   302.26   302.94 
192609  291.84   292.57   294.26   296.97   297.39 
192610  281.99   283.18   286.72   289.28   289.79 
192611  272.91   273.23   277.43   280.58   280.68 
192612  266.00   266.71   270.78   274.31   275.29 
192701  266.75   267.08   270.54   274.00   274.98 
192702  269.48   269.67   273.24   276.88   277.95 
192703  273.19   274.05   276.24   279.51   279.70 
192704  276.60   278.36   281.48   285.40   285.93 
192705  284.86   285.68   289.15   291.87   291.95 
192706  289.40   290.99   295.95   297.99   298.00 
192707  296.37   297.00   299.98   302.49   303.23 
192708  296.92   297.50   300.57   302.11   302.14 
192709  291.67   291.97   293.99   297.67   298.17 
192710  283.01   284.01   286.24   287.90   289.41 
192711  273.93   274.48   277.64   280.28   281.54 
192712  265.84   266.84   270.46   274.14   275.70 
192801  264.38   265.29   269.98   274.07   274.16 
192802  268.74   269.75   274.06   277.15   279.17 
192803  273.25   274.09   277.20   279.35   279.70 
192804  277.45   278.81   282.31   284.83   286.65 
192805  285.10   285.40   289.37   292.38   292.57 
192806  292.50   293.03   295.99   298.30   299.14 
192807  296.50   297.46   300.57   302.57   303.00 
192808  296.95   297.48   299.86   302.78   303.11 
192809  291.55   291.96   294.71   296.27   296.80 
192810  284.11   284.46   286.89   289.67   289.68 
192811  273.85   274.00   277.40   280.60   281.82 
192812  266.27   266.37   270.95   274.41   274.54 
192901  264.57   265.30   270.41   273.86   274.01 
192902  268.71   269.65   273.08   275.94   276.27 
192903  272.35   272.53   276.13   280.19   280.76 
192904  276.89   278.55   281.12   284.07   285.51 
192905  285.34   285.69   288.85   292.48   292.66 
192906  290.93   291.55   295.57   297.93   298.60 
192907  296.65   298.36   299.97   302.19   303.22 
192908  297.49   297.52   299.27   301.88   302.92 
192909  291.07   291.70   293.76   296.11   296.52 
192910  282.56   283.24   285.81   288.80   289.09 
192911  274.31   274.47   277.46   281.06   281.07 
192912  267.19   267.26   271.01   274.57   277.46 
193001  263.15   265.86   271.03   274.99   275.13 
193002  269.17   269.22   273.52   276.52   277.03 
193003  272.65   273.03   275.89   281.25   281.43 
193004  277.41   277.64   280.76   284.26   284.59 
193005  284.97   285.02   288.45   291.03   293.83 
193006  292.35   292.74   295.12   298.17   300.31 
193007  293.51   295.66   299.81   302.31   302.60 
193008  297.12   297.21   299.92   301.72   302.24 
193009  291.93   292.07   294.25   295.97   296.22 
193010  283.33   283.41   286.17   288.20   288.78 
193011  272.25   273.36   276.99   280.50   281.19 
193012  267.37   267.49   270.36   275.06   276.50 
